Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
136638,"Dance of Death (Pendergast, #6; Diogenes, #2)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""0446617091""","=""9780446617093""",4,4.20,Warner Books,Mass Market Paperback,560,2006,2005,2025/05/01,2025/02/24,,,read,,,,1,0
218714533,The Buffalo Hunter Hunter,Stephen Graham Jones,"Jones, Stephen Graham",,"=""1668095483""","=""9781668095485""",5,4.03,Simon & Schuster,Paperback,435,2025,2025,2025/05/01,2025/03/21,,,read,,,,1,0
65212070,Red Rabbit,Alex Grecian,"Grecian, Alex",,"=""1250874688""","=""9781250874689""",5,4.17,Tor Nightfire,Hardcover,455,2023,2023,2025/05/01,2025/04/23,,,read,,,,1,0
40604658,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"Crichton, Michael",,"=""0307763056""","=""9780307763051""",5,4.13,Ballantine Books,Kindle Edition,466,2012,1990,2025/04/23,2025/04/04,,,read,,,,1,0
8650,"The Lost World (Jurassic Park, #2)",Michael Crichton,"Crichton, Michael",,"=""0752224417""","=""9780752224411""",0,3.88,"Alfred A. Knopf, Inc.",Mass Market Paperback,448,1995,1995,,2025/04/23,to-read,to-read (#336),to-read,,,,0,0
220341389,Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection,John Green,"Green, John",,"=""0525556575""","=""9780525556572""",5,4.38,Crash Course Books,Hardcover,198,2025,2025,2025/04/04,2025/04/04,,,read,,,,1,0
219209808,If Cats Disappeared from the World,Genki Kawamura,"Kawamura, Genki",Eric Selland,"=""1250257689""","=""9781250257680""",0,3.79,Flatiron Books,Paperback,176,2025,2012,,2025/03/21,to-read,to-read (#335),to-read,,,,0,0
6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"McDougall, Christopher",,"=""""","=""""",4,4.30,Knopf,Hardcover,287,2009,2009,2025/03/12,2025/03/12,,,read,,,,1,0
36155169,The Human Chair,Edogawa Rampo,"Rampo, Edogawa",,"=""5787309898""","=""9785787309898""",0,4.25,"Vostochnaya kniga (Vostok-Zapad, Muravey)",Paperback,20,2016,1925,,2025/03/06,to-read,to-read (#334),to-read,,,,0,0
223256828,The Enigma of Amigara Fault,Junji Ito,"Ito, Junji",,"=""""","=""""",0,4.34,Shogakukan,Unknown Binding,33,2002,2002,,2025/03/06,to-read,to-read (#333),to-read,,,,0,0
136637,"Brimstone (Pendergast, #5; Diogenes, #1)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""0446612758""","=""9780446612753""",4,4.15,Warner Books,Mass Market Paperback,740,2005,2004,2025/03/03,2025/02/24,,,read,,,,1,0
22815140,Lonely Planet Scotland,Lonely Planet,"Planet, Lonely","Neil Wilson, Andy Symington","=""1743216114""","=""9781743216118""",4,4.07,Lonely Planet,Kindle Edition,0,2013,2001,2015/05/21,2015/05/21,,,read,,,,1,0
62334530,None of This Is True,Lisa Jewell,"Jewell, Lisa",,"=""1982179007""","=""9781982179007""",3,4.08,Atria Books,Hardcover,390,2023,2023,2025/02/25,2025/02/25,,,read,,,,1,0
39033,"Still Life With Crows (Pendergast, #4)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""0446612766""","=""9780446612760""",5,4.21,Grand Central Publishing,Mass Market Paperback,571,2004,2003,2025/02/25,2025/02/24,,,read,,,,1,0
55077538,"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan,"Parker-Chan, Shelley",,"=""1250621801""","=""9781250621801""",0,3.84,Tor Books,Hardcover,414,2021,2021,,2025/02/24,to-read,to-read (#332),to-read,,,,0,0
53205888,Under the Whispering Door,T.J. Klune,"Klune, T.J.",,"=""1250217342""","=""9781250217349""",0,4.11,Tor Books,Hardcover,376,2021,2021,,2025/02/24,to-read,to-read (#331),to-read,,,,0,0
49151299,Punching the Air,Ibi Zoboi,"Zoboi, Ibi",Yusef Salaam,"=""0062996487""","=""9780062996480""",0,4.39,Versify,Hardcover,400,2020,2020,,2025/02/24,to-read,to-read (#330),to-read,,,,0,0
60556912,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""1803144378""","=""9781803144375""",4,4.28,Bookouture,Kindle Edition,329,2022,2022,2025/02/23,2025/02/23,,,read,,,,1,0
39031,"The Cabinet of Curiosities (Pendergast, #3; Nora Kelly, #0B)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""0446611239""","=""9780446611237""",5,4.26,Warner Books,Paperback,629,2003,2002,2025/02/19,2025/01/14,,,read,,,,1,0
127279000,Listen for the Lie,Amy Tintera,"Tintera, Amy",,"=""1250880319""","=""9781250880314""",4,4.07,Celadon Books,Hardcover,336,2024,2024,2025/02/19,2025/02/19,,,read,,,,1,0
